DEBUG: factor start. token=Token(INTEGER, 13, line=86, col=8), current=Token(INTEGER, 13, line=86, col=8)
DEBUG: factor start. token=Token(HASH, '#', line=87, col=10), current=Token(HASH, '#', line=87, col=10)
DEBUG: factor start. token=Token(STRING, 'D', line=87, col=22), current=Token(STRING, 'D', line=87, col=22)
DEBUG: factor start. token=Token(INTEGER, 14, line=88, col=8), current=Token(INTEGER, 14, line=88, col=8)
DEBUG: factor start. token=Token(HASH, '#', line=89, col=10), current=Token(HASH, '#', line=89, col=10)
DEBUG: factor start. token=Token(STRING, 'E', line=89, col=22), current=Token(STRING, 'E', line=89, col=22)
DEBUG: factor start. token=Token(INTEGER, 15, line=90, col=8), current=Token(INTEGER, 15, line=90, col=8)
DEBUG: factor start. token=Token(HASH, '#', line=91, col=10), current=Token(HASH, '#', line=91, col=10)
DEBUG: factor start. token=Token(STRING, 'F', line=91, col=22), current=Token(STRING, 'F', line=91, col=22)
DEBUG: factor start. token=Token(HASH, '#', line=93, col=2), current=Token(HASH, '#', line=93, col=2)
DEBUG: factor start. token=Token(HASH, '#', line=93, col=24), current=Token(HASH, '#', line=93, col=24)
DEBUG: factor start. token=Token(INTEGER, 16, line=109, col=35), current=Token(INTEGER, 16, line=109, col=35)
DEBUG: eat failed. expected=SEMI, got=Token(IDENTIFIER, 'F', line=109, col=38). current_token_id=139656222184160
Parse failed: Parser error at line 109, column 38: Expected token SEMI, got IDENTIFIER. Got Token(IDENTIFIER, 'F', line=109, col=38)
